date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/10/2021 0:00:00,2021,Tusculum,0,0,Emmanuel,Tusculum,1,0,3,1,95,91,,,,,,,,,,,,,,,,,,
3/10/2021 0:00:00,2021,King,0,0,Queens,King,1,0,3,0,75,64,,,,,,,,,,,,,,,,,,
3/10/2021 0:00:00,2021,Lees,0,0,Jamestown,Lees,1,0,3,1,98,75,,,,,,,,,,,,,,,,,,
3/11/2021 0:00:00,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,1,91,85,,,,,,,,,,,,,,,,,,
3/11/2021 0:00:00,2021,UCLA,0,0,Pepperdine,UCLA,0,1,2,3,86,110,,,,,,,,,,,,,,,,,,
3/11/2021 0:00:00,2021,UCI,0,0,UCSD,UCI,0,1,2,3,107,111,,,,,,,,,,,,,,,,,,
3/11/2021 0:00:00,2021,Concordia,0,0,USC,Concordia,0,1,0,3,67,75,,,,,,,,,,,,,,,,,,
3/11/2021 0:00:00,2021,Ohio,0,0,Ball,Ohio,1,0,3,2,111,102,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,0,75,59,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,BYU,0,0,Stanford,BYU,0,1,0,3,47,75,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,UCSD,0,0,UCI,UCSD,0,1,2,3,100,113,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Sacred,0,0,NJIT,Sacred,1,0,3,0,75,63,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Charleston,0,0,GMU,Charleston,1,0,3,1,96,87,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,McKendree,0,0,Lewis,McKendree,1,0,3,0,75,62,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Lindenwood,0,0,Quincy,Lindenwood,0,1,1,3,79,95,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,PFW,0,0,Loyola,PFW,1,0,3,1,108,103,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Belmont,0,0,King,Belmont,0,1,1,3,88,99,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Emmanuel,0,0,Jamestown,Emmanuel,1,0,3,0,75,52,,,,,,,,,,,,,,,,,,
3/12/2021 0:00:00,2021,Greenville,0,0,Lees,Greenville,0,1,0,3,48,75,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,0,76,65,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,BYU,0,0,Stanford,BYU,0,1,0,3,56,75,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Pepperdine,0,0,UCLA,Pepperdine,0,1,1,3,92,99,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Sacred,0,0,NJIT,Sacred,1,0,3,0,75,60,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,USC,0,0,Concordia,USC,0,1,1,3,76,99,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Charleston,0,0,GMU,Charleston,1,0,3,0,75,65,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Lees,0,0,Belmont,Lees,0,1,2,3,105,103,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Limestone,0,0,Jamestown,Limestone,1,0,3,2,104,103,,,,,,,,,,,,,,,,,,
3/13/2021 0:00:00,2021,Queens,0,0,LMU,Queens,0,1,2,3,103,115,,,,,,,,,,,,,,,,,,
3/14/2021 0:00:00,2021,LImestone,0,0,LMU,Limestone,1,0,3,0,79,69,,,,,,,,,,,,,,,,,,
3/14/2021 0:00:00,2021,Elmira,0,0,Daemen,Elmira,1,0,3,0,75,43,,,,,,,,,,,,,,,,,,
3/14/2021 0:00:00,2021,Elmira,0,0,Daemen,Elmira,1,0,3,0,75,52,,,,,,,,,,,,,,,,,,
3/16/2021 0:00:00,2021,Emmanuel,0,0,Erskine,Emmanuel,0,1,1,3,83,93,,,,,,,,,,,,,,,,,,
3/16/2021 0:00:00,2021,LMU,0,0,King,LMU,0,1,0,3,65,77,,,,,,,,,,,,,,,,,,
3/17/2021 0:00:00,2021,GCU,0,0,USC,GCU,0,1,0,3,46,75,,,,,,,,,,,,,,,,,,
3/17/2021 0:00:00,2021,Belmont,0,0,Tusculum,Belmont,0,1,0,3,51,75,,,,,,,,,,,,,,,,,,
3/17/2021 0:00:00,2021,Greenville,0,0,Limestone,Greenville,0,1,0,3,59,76,,,,,,,,,,,,,,,,,,
3/18/2021 0:00:00,2021,Loyola,0,0,McKendree,Loyola,0,1,0,3,67,75,,,,,,,,,,,,,,,,,,
3/18/2021 0:00:00,2021,Queens,0,0,Olive,Queens,0,1,0,3,51,75,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Pepperdine,0,0,BYU,Pepperdine,1,0,3,1,95,80,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,NJIT,0,0,Penn,NJIT,1,0,3,0,83,75,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Stanford,0,0,GCU,Stanford,0,1,0,3,67,75,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Quincy,0,0,Ball,Quincy,1,0,3,1,98,74,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Charleston,0,0,SFU,Charleston,1,0,3,2,104,102,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Lindenwood,0,0,Lewis,Lindenwood,1,0,3,0,82,65,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Loyola,0,0,McKendree,Loyola,0,1,1,3,86,95,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,PFW,0,0,Ohio,PFW,1,0,3,1,97,90,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Erskine,0,0,Belmont,Erskine,1,0,3,0,75,56,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,Emmanuel,0,0,Greenville,Emmanuel,0,1,2,3,103,98,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,King,0,0,Limestone,King,1,0,3,0,79,63,,,,,,,,,,,,,,,,,,
3/19/2021 0:00:00,2021,LMU,0,0,Tusculum,LMU,0,1,0,3,55,75,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Pepperdine,0,0,BYU,Pepperdine,1,0,3,0,75,55,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,UCSB,0,0,LBSU,UCSB,0,1,1,3,83,100,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,NJIT,0,0,Penn,NJIT,1,0,3,0,75,59,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Stanford,0,0,GCU,Stanford,1,0,3,1,98,75,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,UCI,0,0,CSUN,UCI,0,1,1,3,81,97,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Quincy,0,0,Ball,Quincy,1,0,3,0,75,57,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Charleston,0,0,SFU,Charleston,1,0,3,0,75,59,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,PFW,0,0,Ohio,PFW,0,1,1,3,90,98,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Queens,0,0,Barton,Queens,0,1,1,3,82,105,,,,,,,,,,,,,,,,,,
3/20/2021 0:00:00,2021,Emmanuel,0,0,Belmont,Emmanuel,1,0,3,1,97,85,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,LBSU,0,0,UCSB,LBSU,0,1,1,3,87,98,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,CSUN,0,0,UCI,CSUN,0,1,1,3,74,97,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,Lindenwood,0,0,Lewis,Lindenwood,1,0,3,0,81,69,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,Alderson,0,0,Tusculum,Alderson,1,0,3,1,98,72,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,GMU,0,0,Sacred,GMU,0,1,0,3,59,75,,,,,,,,,,,,,,,,,,
3/21/2021 0:00:00,2021,GMU,0,0,Sacred,GMU,0,1,0,3,66,80,,,,,,,,,,,,,,,,,,
3/22/2021 0:00:00,2021,Daemen,0,0,DYouville,Daemen,0,1,0,3,44,75,,,,,,,,,,,,,,,,,,
3/23/2021 0:00:00,2021,Stanford,0,0,UCLA,Stanford,1,0,3,1,110,92,,,,,,,,,,,,,,,,,,
3/23/2021 0:00:00,2021,King,0,0,Belmont,King,1,0,3,2,118,115,,,,,,,,,,,,,,,,,,
3/23/2021 0:00:00,2021,Greenville,0,0,Life,Greenville,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
3/23/2021 0:00:00,2021,Lees,0,0,Limestone,Lees,1,0,3,1,91,89,,,,,,,,,,,,,,,,,,
3/23/2021 0:00:00,2021,Geneva,0,0,Alderson,Geneva,0,1,0,3,55,78,,,,,,,,,,,,,,,,,,
3/24/2021 0:00:00,2021,Stanford,0,0,UCLA,Stanford,1,0,3,0,75,62,,,,,,,,,,,,,,,,,,
3/24/2021 0:00:00,2021,Daemen,0,0,Fisher,Daemen,0,1,1,3,81,104,,,,,,,,,,,,,,,,,,
3/25/2021 0:00:00,2021,Alderson,0,0,Carlow,Alderson,0,1,0,3,45,75,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Hawaii,0,0,UCSD,Hawaii,0,1,1,3,82,98,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Concordia,0,0,BYU,Concordia,1,0,3,0,75,62,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,LBSU,0,0,UCI,LBSU,0,1,1,3,75,97,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,USC,0,0,Stanford,USC,0,1,1,3,89,98,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Pepperdine,0,0,GCU,Pepperdine,0,1,0,3,63,75,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,CSUN,0,0,UCSB,CSUN,1,0,3,0,75,49,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Ball,0,0,Loyola,Ball,1,0,3,0,75,63,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,SFU,0,0,GMU,SFU,1,0,3,2,119,114,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Penn,0,0,Sacred,Penn,0,1,0,3,51,75,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Lewis,0,0,Quincy,Lewis,0,1,0,3,43,75,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Ohio,0,0,Lindenwood,Ohio,0,1,0,3,61,77,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Olive,0,0,Belmont,Olive,0,1,1,3,86,96,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,King,0,0,Emmanuel,King,0,1,0,3,61,75,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,Lees,0,0,Erskine,Lees,0,1,1,3,98,99,,,,,,,,,,,,,,,,,,
3/26/2021 0:00:00,2021,LMU,0,0,Limestone,LMU,0,1,2,3,95,111,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Hawaii,0,0,UCSD,Hawaii,0,1,0,3,55,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Concordia,0,0,BYU,Concordia,1,0,3,0,75,55,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,UCI,0,0,LBSU,UCI,1,0,3,2,114,99,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,USC,0,0,Stanford,USC,0,1,0,3,50,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Pepperdine,0,0,GCU,Pepperdine,0,1,2,3,102,112,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,UCSB,0,0,CSUN,UCSB,0,1,0,3,55,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Ball,0,0,Loyola,Ball,1,0,3,1,94,88,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,SFU,0,0,GMU,SFU,1,0,3,0,75,66,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Penn,0,0,Sacred,Penn,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Lewis,0,0,Quincy,Lewis,0,1,0,3,56,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Ohio,0,0,Lindenwood,Ohio,0,1,0,3,55,75,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,PFW,0,0,McKendree,PFW,0,1,0,3,76,82,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Barton,0,0,Belmont,Barton,0,1,1,3,91,100,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Lees,0,0,Emmanuel,Lees,1,0,3,2,113,103,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,King,0,0,Erskine,King,1,0,3,2,102,93,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,LMU,0,0,Queens,LMU,0,1,0,3,65,76,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Carlow,0,0,DYouville,Carlow,1,0,3,0,75,53,,,,,,,,,,,,,,,,,,
3/27/2021 0:00:00,2021,Carlow,0,0,DYouville,Carlow,1,0,3,0,75,54,,,,,,,,,,,,,,,,,,
3/28/2021 0:00:00,2021,USC,0,0,Stanford,USC,0,1,0,3,54,75,,,,,,,,,,,,,,,,,,
3/28/2021 0:00:00,2021,Pepperdine,0,0,GCU,Pepperdine,0,1,0,3,69,80,,,,,,,,,,,,,,,,,,
3/28/2021 0:00:00,2021,PFW,0,0,McKendree,PFW,1,0,3,0,75,53,,,,,,,,,,,,,,,,,,
3/30/2021 0:00:00,2021,Belmont,0,0,Lees,Belmont,0,1,0,3,64,78,,,,,,,,,,,,,,,,,,
3/30/2021 0:00:00,2021,Emmanuel,0,0,Limestone,Emmanuel,0,1,0,3,58,79,,,,,,,,,,,,,,,,,,
3/30/2021 0:00:00,2021,SFCB,0,0,Sacred,SFCB,1,0,3,1,96,75,,,,,,,,,,,,,,,,,,
3/30/2021 0:00:00,2021,SFCB,0,0,Sacred,SFCB,0,1,2,3,103,111,,,,,,,,,,,,,,,,,,
3/31/2021 0:00:00,2021,UCSB,0,0,UCI,UCSB,0,1,1,3,82,97,,,,,,,,,,,,,,,,,,
4/1/2021 0:00:00,2021,BYU,0,0,USC,BYU,0,1,0,3,56,75,,,,,,,,,,,,,,,,,,
4/1/2021 0:00:00,2021,Loyola,0,0,Lewis,Loyola,1,0,3,0,75,61,,,,,,,,,,,,,,,,,,
4/1/2021 0:00:00,2021,Lees,0,0,King,Lees,1,0,3,0,75,59,,,,,,,,,,,,,,,,,,
4/1/2021 0:00:00,2021,Carlow,0,0,Alderson,Carlow,1,0,3,1,97,78,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Hawaii,0,0,LBSU,Hawaii,0,1,1,3,76,99,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,UCI,0,0,UCSB,UCI,1,0,3,0,75,52,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,BYU,0,0,USC,BYU,0,1,1,3,86,99,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,GCU,0,0,UCLA,GCU,1,0,3,2,114,100,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,SFU,0,0,NJIT,SFU,1,0,3,2,100,101,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Stanford,0,0,Concordia,Stanford,0,1,1,3,86,95,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,CSUN,0,0,UCSD,CSUN,1,0,3,0,75,55,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,McKendree,0,0,Ball,McKendree,0,1,1,3,79,93,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,GMU,0,0,Penn,GMU,1,0,3,0,77,60,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Loyola,0,0,Lewis,Loyola,1,0,3,2,106,105,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Lindenwood,0,0,PFW,Lindenwood,1,0,3,2,109,97,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Quincy,0,0,Ohio,Quincy,1,0,3,0,75,57,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,Olive,0,0,Erskine,Olive,0,1,1,3,81,96,,,,,,,,,,,,,,,,,,
4/2/2021 0:00:00,2021,SFCB,0,0,SFCB,Daemen,0,1,1,3,75,96,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,Hawaii,0,0,LBSU,Hawaii,0,1,2,3,106,118,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,UCI,0,0,UCSB,UCI,1,0,3,0,75,56,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,GCU,0,0,UCLA,GCU,1,0,3,1,98,83,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,SFU,0,0,NJIT,SFU,1,0,3,0,75,53,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,Stanford,0,0,Concordia,Stanford,0,1,2,3,109,109,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,UCSD,0,0,CSUN,UCSD,0,1,2,3,112,114,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,McKendree,0,0,Ball,McKendree,1,0,3,2,110,103,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,GMU,0,0,Penn,GMU,0,1,2,3,100,100,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,Lindenwood,0,0,PFW,Lindenwood,0,1,2,3,107,114,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,Quincy,0,0,Ohio,Quincy,0,1,2,3,103,100,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,Barton,0,0,Erskine,Barton,0,1,2,3,104,99,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,SFCB,0,0,SFCB,Daemen,0,1,1,3,77,101,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,DYouville,0,0,Elmira,DYouville,1,0,3,1,99,77,,,,,,,,,,,,,,,,,,
4/3/2021 0:00:00,2021,DYouville,0,0,Elmira,DYouville,1,0,3,1,96,83,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Tusculum,0,0,Queens,Tusculum,1,0,3,1,98,86,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Barton,0,0,Olive,Barton,1,0,3,2,109,107,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Belmont,0,0,Greenville,Belmont,0,1,1,3,91,94,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Erskine,0,0,Emmanuel,Erskine,1,0,3,0,75,61,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,King,0,0,Lees,King,0,1,0,3,42,75,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Sacred,0,0,SFCB,Sacred,1,0,3,0,75,57,,,,,,,,,,,,,,,,,,
4/6/2021 0:00:00,2021,Sacred,0,0,SFCB,Sacred,1,0,3,1,93,90,,,,,,,,,,,,,,,,,,
4/8/2021 0:00:00,2021,King,0,1,Lees,King,0,1,0,3,59,75,,,,,,,,,,,,,,,,,,
4/8/2021 0:00:00,2021,Emmanuel,0,1,Erskine,Emmanuel,0,1,0,3,52,75,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,CSUN,0,0,Hawaii,CSUN,1,0,3,1,98,81,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,UCSD,0,0,LBSU,UCSD,1,0,3,0,75,62,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,UCLA,0,0,BYU,UCLA,1,0,3,0,75,52,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,USC,0,0,GCU,USC,1,0,3,0,75,66,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,Charleston,0,0,Penn,Charleston,1,0,3,0,75,43,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,Sacred,0,0,SFU,Sacred,1,0,3,1,100,86,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,Limestone,0,0,Queens,Limestone,0,1,2,3,105,105,,,,,,,,,,,,,,,,,,
4/9/2021 0:00:00,2021,Tusculum,0,0,Alderson,Tusculum,0,1,1,3,84,93,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,Ball,0,1,Ohio,Ball,0,1,1,3,99,105,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,McKendree,0,1,PFW,McKendree,0,1,2,3,117,116,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,Lewis,0,1,Quincy,Lewis,0,1,0,3,56,75,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,Loyola,0,1,Lindenwood,Loyola,0,1,1,3,89,99,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,CSUN,0,0,Hawaii,CSUN,1,0,3,0,75,61,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,UCLA,0,0,BYU,UCLA,0,1,1,3,83,98,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,LBSU,0,0,UCSD,LBSU,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,USC,0,0,GCU,USC,1,0,3,2,112,110,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,Charleston,0,0,Penn,Charleston,1,0,3,0,75,36,,,,,,,,,,,,,,,,,,
4/10/2021 0:00:00,2021,Sacred,0,0,SFU,Sacred,1,0,3,0,75,56,,,,,,,,,,,,,,,,,,
4/13/2021 0:00:00,2021,Tusculum,0,0,Limestone,Tusculum,1,0,3,1,94,84,,,,,,,,,,,,,,,,,,
4/13/2021 0:00:00,2021,Greenville,0,1,Emmanuel,Greenville,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
4/13/2021 0:00:00,2021,Barton,0,1,King,Barton,1,0,3,0,77,66,,,,,,,,,,,,,,,,,,
4/14/2021 0:00:00,2021,UCSD,0,0,UCSB,UCSD,1,0,3,2,106,100,,,,,,,,,,,,,,,,,,
4/15/2021 0:00:00,2021,UCSD,0,0,UCSB,UCSD,1,0,3,0,80,74,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,Hawaii,0,0,UCI,Hawaii,0,1,2,3,109,112,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,CSUN,0,0,LBSU,CSUN,0,1,2,3,115,111,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,GCU,0,0,Concordia,GCU,0,1,0,3,59,75,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,Queens,1,1,Alderson,Tusculum,0,1,0,3,44,75,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,Queens,1,1,LMU,Tusculum,1,0,3,0,75,63,,,,,,,,,,,,,,,,,,
4/16/2021 0:00:00,2021,Queens,0,1,Limestone,Queens,0,1,0,3,66,78,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,Lewis,0,1,Ball,Lewis,0,1,0,3,58,75,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,Loyola,0,1,McKendree,Loyola,0,1,2,3,104,94,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,SFU,0,1,Charleston,SFU,0,1,1,3,86,99,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,Queens,1,1,Limestone,Tusculum,0,1,0,3,65,75,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,Queens,0,1,LMU,Queens,1,0,3,0,75,65,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,Hawaii,0,0,UCI,Hawaii,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,King,0,1,Olive,King,1,0,3,1,105,94,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,King,1,1,Belmont,Greenville,1,0,3,1,98,84,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,UCSB,0,0,UCSD,UCSB,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,LBSU,0,0,CSUN,LBSU,0,1,0,3,64,75,,,,,,,,,,,,,,,,,,
4/17/2021 0:00:00,2021,GCU,0,0,Concordia,GCU,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
4/18/2021 0:00:00,2021,King,1,1,Belmont,Olive,1,0,3,1,100,94,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,Penn,0,1,SFU,Penn,0,1,0,3,58,75,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,Penn,1,1,GMU,NJIT,1,0,3,0,82,68,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,Hawaii,1,1,LBSU,UCI,1,0,3,0,75,62,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,Hawaii,1,1,CSUN,UCSD,0,1,1,3,87,95,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,BYU,1,1,Concordia,UCLA,0,1,1,3,92,97,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,BYU,1,1,GCU,USC,1,0,3,1,103,90,,,,,,,,,,,,,,,,,,
4/22/2021 0:00:00,2021,BYU,1,1,Pepperdine,Stanford,1,0,3,1,96,88,,,,,,,,,,,,,,,,,,
4/23/2021 0:00:00,2021,Hawaii,1,1,LBSU,UCSB,0,1,1,3,75,91,,,,,,,,,,,,,,,,,,
4/23/2021 0:00:00,2021,Hawaii,0,1,UCSD,Hawaii,1,0,3,2,106,112,,,,,,,,,,,,,,,,,,
4/23/2021 0:00:00,2021,BYU,0,1,GCU,BYU,0,1,0,3,60,79,,,,,,,,,,,,,,,,,,
4/23/2021 0:00:00,2021,BYU,1,1,Pepperdine,UCLA,1,0,3,0,76,67,,,,,,,,,,,,,,,,,,
4/24/2021 0:00:00,2021,Penn,0,1,GMU,Penn,0,1,1,3,92,105,,,,,,,,,,,,,,,,,,
4/24/2021 0:00:00,2021,Lewis,0,1,Loyola,Lewis,0,1,0,3,55,75,,,,,,,,,,,,,,,,,,
4/24/2021 0:00:00,2021,Hawaii,1,1,UCSB,UCSD,1,0,3,1,99,91,,,,,,,,,,,,,,,,,,
4/24/2021 0:00:00,2021,BYU,0,1,Pepperdine,BYU,0,1,0,3,57,75,,,,,,,,,,,,,,,,,,
5/3/2021 0:00:00,2021,Ohio,1,1,Belmont,Penn,0,1,0,3,54,75,,,,,,,,,,,,,,,,,,
5/4/2021 0:00:00,2021,Ohio,1,1,Pepperdine,UCSB,0,1,1,3,96,100,,,,,,,,,,,,,,,,,,
